"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"100R";"RESISTOR0603";"R0603";"R1, R2";"";"";
"1";"100nF";"CAPC0603";"C0603";"C1";"";"";
"4";"10K";"RESISTOR0603";"R0603";"R3, R4, R5, R6";"";"";
"3";"1uF";"CAPC0603";"C0603";"C2, C3, C4";"";"";
"2";"3A";"PTCJK-SMD300";"JK-SMD300";"F1, F2";"";"";
"2";"AO3400";"MOSFET-NCHSOT23-3";"SOT23-3";"Q1, Q2";"";"";
"1";"AP2112K";"REGULATOR-AP2112KK-SOT23-5";"SOT23-5";"U2";"";"";
"1";"BOOT";"HEADER-1X02-2.54";"1X02-2.54";"X5";"";"";
"1";"LED1";"USB-ASS-52100-001";"USB-A-SS-52100-001";"X2";"";"";
"1";"LED2";"USB-ASS-52100-001";"USB-A-SS-52100-001";"X3";"";"";
"1";"PICO-MINI-02";"ESP32-PICO-MINI-02";"ESP32-PICO-MINI-02";"U1";"";"";
"1";"POWER";"TERMINAL-1X02-2.54P";"TERMINAL-2.54-2P";"J1";"";"";
"1";"PROG";"HEADER-FTDI232";"FTDI232-1X06";"X1";"";"";
"1";"RESET";"HEADER-1X02-2.54";"1X02-2.54";"X6";"";"";
